Year	Grid	Season	Tag	Mass	Status
Y2002	HC	May	C7388	27	None
Y2002	HC	May	C7388	25	None
Y2002	HC	May	C7388	30	None
Y2001	HC	October	C7389	20	None
Y2001	HC	October	C7398	20	None
Y2001	HC	October	C7398	22	None
Y2003	GC	July	C7415	19	None
Y2003	GC	August	C7415	21	None
Y2003	GE	June	C7421	18	None
Y2003	GE	July	C7421	24	None
Y2003	GE	August	C7421	24	None
Y2003	GE	August	C7421	26	None
Y2003	GC	July	C7425	18	None
Y2003	GC	August	C7425	20	None
Y2003	GC	August	C7433	20	None
Y2003	GC	August	C7434	21	None
Y2003	GC	August	C7435	24	None
Y2003	GC	August	C7436	23	None
Y2003	GC	August	C7438	16	None
Y2003	GC	August	C7438	21	None
Y2003	GC	August	C7439	20	None
Y2003	GC	August	C7439	25	None
Y2003	GC	August	C7440	20	None
Y2003	GC	August	C7444	19	None
Y2003	GC	August	C7445	20	None
Y2003	GC	August	C7451	21	None
Y2003	GC	August	C7453	20	None
Y2003	GC	August	C7454	21	None
Y2003	GC	August	C7456	26	None
Y2003	GC	August	C7459	20	None
Y2003	GC	August	C7460	20	None
Y2003	GC	August	C7461	23	None
Y2003	GC	August	C7464	22	None
Y2004	GC	June	C7464	23	None
Y2004	GC	July	C7464	26	None
Y2004	GC	August	C7464	24	None
Y2004	GC	August	C7464	25	None
Y2004	GC	September	C7464	23	None
Y2004	GC	October	C7464	25	None
Y2004	GC	October	C7464	25	None
Y2003	GC	October	C7464	23	None
Y2004	GC	September	C7464	27	None
Y2002	GC	July	C7508	16	None
Y2002	GC	July	C7508	17	None
Y2002	GC	July	C7509	17	None
Y2002	GC	July	C7513	16	None
Y2002	GC	July	C7514	25	None
Y2002	GC	August	C7514	29	None
Y2002	GC	September	C7514	27	None
Y2002	GC	October	C7514	27	None
Y2002	GC	July	C7514	27	None
Y2002	GC	July	C7514	28	None
Y2002	GC	August	C7514	28	None
Y2002	GC	October	C7514	26	None
Y2002	GC	June	C7523	25	None
Y2002	GC	August	C7526	21	None
Y2002	GC	September	C7526	25	None
Y2002	GC	August	C7526	21	None
Y2002	GC	August	C7531	18	None
Y2002	GC	September	C7531	22	None
Y2002	GC	August	C7531	19	None
Y2002	GC	August	C7532	23	None
Y2002	GC	September	C7532	24	None
Y2002	GC	August	C7532	25	None
Y2002	GC	August	C7534	24	None
Y2002	GC	September	C7534/C5294	23	None
Y2002	GC	August	C7535	22	None
Y2002	GC	September	C7535	21	None
Y2002	GC	October	C7535	21	None
Y2002	GC	September	C7537	24	None
Y2004	HC	October	C7565	25	None
Y2003	GC	July	C7574	19	None
Y2003	GC	August	C7574	20	None
Y2003	GC	August	C7574	22	None
Y2003	GC	August	C7574	21	None
Y2002	TC	November	C7604	20	None
Y2002	TC	October	C7608	23	None
Y2002	TC	November	C7608	24	None
Y2002	TC	November	C7609	20	None
Y2003	TC	June	C7609	23	None
Y2003	TC	July	C7609	25	None
Y2003	TC	July	C7609	25	None
Y2003	TC	August	C7609	25	None
Y2003	TC	September	C7609	26	None
Y2003	TC	September	C7609	26	None
Y2003	TC	October	C7609	25	None
Y2003	TC	November	C7609	23	None
Y2002	TC	October	C7610	14	None
Y2002	TC	October	C7618	18	None
Y2002	TC	October	C7618	21	None
Y2002	TC	October	C7620	20	None
Y2002	TC	November	C7630	21	None
Y2002	TC	October	C7630	20	None
Y2002	TC	October	C7646	22	None
Y2002	TC	November	C7651	18	None
Y2003	TC	July	C7654	18	None
Y2002	TC	November	C7655	18	None
Y2003	TC	November	C7662	22	None
Y2003	TC	June	C7669	22	None
Y2003	TC	July	C7669	24	None
Y2003	TC	July	C7669	25	None
Y2003	TC	July	C7670	20	None
Y2003	TC	July	C7671	20	None
Y2003	TC	August	C7671	22	None
Y2003	TC	September	C7671	23	None
Y2003	TC	July	C7673	18	None
Y2003	GC	August	C7674	21	None
Y2002	TE	August	C7680	20	None
Y2003	TC	August	C7680	20	None
Y2002	TC	July	C7682	26	None
Y2002	TC	July	C7682	25	None
Y2002	TC	August	C7682	27	None
Y2002	TC	November	C7682	29	None
Y2002	TC	July	C7686	15	None
Y2002	TC	August	C7686	18	None
Y2002	TC	September	C7686	20	None
Y2002	TC	October	C7686	20	None
Y2002	TC	October	C7686	20	None
Y2002	TC	November	C7686	22	None
Y2002	TC	October	C7691	21	None
Y2002	TC	November	C7691	24	None
Y2002	TC	October	C7692	24	None
Y2002	TC	October	C7704	18	None
Y2002	TC	November	C7704	22	None
Y2003	TC	June	C7704	24	None
Y2003	TC	August	C7704	26	None
Y2003	TC	September	C7704	25	None
Y2004	TC	June	C7704	26	None
Y2004	TC	June	C7704	24	None
Y2004	TC	July	C7704	27	None
Y2004	TC	August	C7704	26	None
Y2004	TC	September	C7704	26	None
Y2004	TC	September	C7704	28	None
Y2004	TC	October	C7704	28	None
Y2002	TC	November	C7706	20	None
Y2003	TC	June	C7706	20	None
Y2003	TC	July	C7706	21	None
Y2003	TC	July	C7706	23	None
Y2003	TC	August	C7706	26	None
Y2002	TC	October	C7708	24	None
Y2002	TC	November	C7708	25	None
Y2002	TC	November	C7721	20	None
Y2002	TC	November	C7731	23	None
Y2002	TC	November	C7733	19	None
Y2002	TC	November	C7735	22	None
Y2003	TC	July	C7744	21	None
Y2003	TC	July	C7744	22	None
Y2003	TC	August	C7744	21	None
Y2003	TC	September	C7744	21	None
Y2003	TC	September	C7744	24	None
Y2003	TC	October	C7744	26	None
Y2003	TC	August	C7744	23	None
Y2002	TC	November	C7754	18	None
Y2003	TC	June	C7765	24	None
Y2003	TC	July	C7765	27	None
Y2003	TC	July	C7765	25	None
Y2003	TC	August	C7765	26	None
Y2003	TC	June	C7769	23	None
Y2003	TC	July	C7769	24	None
Y2003	TC	July	C7769	25	None
Y2003	TC	August	C7769	26	None
Y2003	TC	September	C7769	27	None
Y2003	TE	July	C7776	20	None
Y2003	TE	August	C7776	23	None
Y2003	TE	September	C7776	23	None
Y2003	TE	September	C7776	24	None
Y2003	TE	November	C7776	23	None
Y2003	TC	June	C7782	17	None
Y2003	TC	July	C7784	18	None
Y2003	TC	July	C7784	21	None
Y2003	TC	August	C7784	27	None
Y2003	TC	September	C7784	24	None
Y2003	TC	September	C7784	25	None
Y2003	TC	October	C7784	22	None
Y2003	TC	November	C7784	25	None
Y2004	TC	June	C7784	26	None
Y2004	TC	June	C7784	23	None
Y2003	TC	July	C7799	21	None
Y2003	TC	July	C7799	22	None
Y2003	TC	August	C7799	24	None
Y2003	TC	September	C7799	24	None
Y2002	HC	August	C7808	17	None
Y2002	HC	September	C7808	22	None
Y2002	HC	July	C7810	25	None
Y2002	HC	July	C7812	20	None
Y2002	HC	July	C7812	19	None
Y2002	HC	August	C7812	20	None
Y2002	HC	September	C7812	21	None
Y2002	HC	September	C7812	23	None
Y2002	HC	July	C7812	21	None
Y2002	HC	September	C7812	23	None
Y2002	HC	July	C7816	17	None
Y2002	HC	September	C7818	21	None
Y2002	HC	September	C7818	21	None
Y2002	HC	October	C7818	22	None
Y2002	HC	November	C7818	23	None
Y2002	HC	September	C7819	18	None
Y2002	HC	November	C7821	19	None
Y2002	HC	October	C7824	16	None
Y2002	HC	July	C7826	15	None
Y2002	HC	July	C7828	16	None
Y2002	HC	July	C7833	16	None
Y2002	HC	August	C7833	19	None
Y2002	HC	August	C7835	23	None
Y2002	HC	September	C7838	20	None
Y2002	HC	October	C7838	21	None
Y2002	HC	November	C7838	23	None
Y2002	HC	October	C7846	15	None
Y2002	HC	November	C7846	18	None
Y2002	HC	September	C7848	18	None
Y2002	HC	July	C7851	24	None
Y2002	HC	July	C7851	23	None
Y2002	HC	August	C7851	25	None
Y2002	HC	September	C7851	22	None
Y2002	HC	July	C7856	26	None
Y2002	HC	August	C7860	22	None
Y2002	HC	September	C7860	26	None
Y2002	HC	August	C7862	23	None
Y2002	HC	September	C7865	13	None
Y2002	HC	September	C7865	17	None
Y2002	HC	October	C7865	19	None
Y2002	HC	November	C7865	20	None
Y2002	HC	September	C7867	30	None
Y2002	HC	July	C7877	17	None
Y2002	HC	July	C7884/C7885	16	None
Y2002	HC	August	C7885	18	None
Y2002	HC	September	C7885	18	None
Y2002	HC	September	C7885	20	None
Y2002	HC	October	C7885	18	None
Y2002	HC	November	C7885	20	None
Y2002	HC	July	C7886	15	None
Y2002	HC	September	C7888	19	None
Y2002	HC	September	C7888	19	None
Y2002	HC	September	C7888	21	None
Y2002	HC	August	C7889	18	None
Y2002	HC	September	C7889	21	None
Y2002	HC	July	C7892	25	None
Y2002	HC	August	C7892	25	None
Y2002	HC	September	C7892	24	None
Y2002	HC	November	C7892	24	None
Y2003	HC	June	C7906	21	None
Y2003	HC	July	C7906	24	None
Y2003	HC	August	C7906	23	None
Y2003	HC	August	C7906	24	None
Y2003	HC	June	C7907	24	None
Y2003	HC	July	C7907	26	None
Y2003	HC	August	C7907	27	None
Y2003	HC	August	C7907	27	None
Y2003	HC	September	C7907	24	None
Y2003	HC	October	C7907	25	None
Y2003	HC	October	C7907	20	None
Y2003	HC	June	C7908	27	None
Y2003	HC	July	C7908	27	None
Y2003	HC	August	C7908	29	None
Y2003	HC	August	C7908	30	None
Y2003	HC	September	C7908	28	None
Y2003	HC	October	C7908	30	None
Y2003	HC	June	C7912	23	None
Y2003	HC	July	C7912	26	None
Y2003	HC	August	C7912	23	None
Y2003	HC	September	C7912	22	None
Y2003	HC	July	C7915	27	None
Y2003	HC	August	C7915	27	None
Y2003	HC	August	C7915	27	None
Y2003	HC	September	C7915	29	None
Y2003	HC	June	C7920	19	None
Y2003	HC	July	C7920	21	None
Y2003	HC	August	C7920	22	None
Y2003	HC	August	C7920	21	None
Y2003	HC	June	C7928	15	None
Y2003	HC	July	C7928	17	None
Y2003	HC	August	C7928	21	None
Y2002	HC	October	C7937	20	None
Y2003	HC	July	C7937	26	None
Y2003	HC	August	C7937	27	None
Y2003	HC	August	C7937	25	None
Y2002	HC	October	C7939	15	None
Y2003	HC	June	C7939	23	None
Y2003	HC	July	C7939	25	None
Y2003	HC	August	C7939	24	None
Y2003	HC	August	C7939	23	None
Y2003	HC	September	C7939	25	None
Y2003	HC	October	C7939	25	None
Y2002	HC	October	C7939	16	None
Y2002	HC	October	C7940	16	None
Y2002	HC	October	C7942	18	None
Y2002	HC	November	C7942	22	None
Y2003	HC	August	C7952	19	None
Y2003	HC	August	C7952	22	None
Y2003	HC	August	C7960	20	None
Y2003	HC	September	C7960	21	None
Y2003	HC	September	C7963	20	None
Y2003	HC	October	C7963	22	None
Y2003	HC	October	C7963	23	None
Y2003	HC	August	C7968	18	None
Y2003	HC	August	C7973	19	None
Y2003	HC	September	C7973	20	None
Y2003	HC	October	C7973	22	None
Y2003	HC	October	C7973	23	None
Y2003	HC	June	C7985	23	None
Y2003	HC	July	C7985	23	None
Y2003	HC	August	C7985	26	None
Y2003	HC	August	C7985	25	None
Y2002	HC	November	C7986	17	None
Y2003	HC	July	C7989	25	None
Y2004	HC	September	C8007	27	None
Y2004	HC	September	C8012	21	None
Y2004	HC	October	C8015	18	None
Y2004	HC	October	C8018	24	None
Y2004	HC	October	C8019	17	None
Y2006	HC	July	C8038	30	None
Y2006	HC	August	C8038	29	None
Y2006	HC	September	C8038	28	None
Y2006	HC	July	C8039	21	None
Y2006	HC	August	C8039	24	None
Y2006	HC	September	C8039	25	None
Y2006	HC	October	C8039	29	None
Y2005	HC	September	C8042	27	None
Y2005	HC	October	C8053	16	None
Y2006	HC	July	C8059	25	None
Y2006	HC	August	C8059	25	None
Y2006	HC	September	C8059	25	None
Y2006	HC	October	C8059	26	None
Y2005	HC	October	C8067	24	None
Y2005	HC	November	C8069	24	None
Y2005	HC	November	C8070	23	None
Y2004	HC	September	C8076	21	None
Y2004	HC	September	C8076	21	None
Y2004	HC	September	C8080	23	None
Y2004	HC	October	C8080	22	None
Y2004	HC	September	C8082	21	None
Y2004	HC	October	C8082	19	None
Y2004	HC	September	C8087	24	None
Y2004	HC	September	C8089	20	None
Y2004	HC	October	C8089	20	None
Y2005	HC	August	C8093	19	None
Y2005	HC	September	C8093	28	None
Y2005	HC	September	C8093	25	None
Y2005	HC	September	C8094	21	None
Y2004	HC	July	C8098	21	None
Y2004	HC	September	C8098	24	None
Y2004	HC	October	C8098	24	None
Y2004	HC	July	C8100	21	None
Y2004	HC	September	C8100	22	None
Y2004	HC	October	C8100	23	None
Y2005	HC	October	C8103	25	None
Y2005	HC	October	C8104	23	None
Y2005	HC	October	C8113	25	None
Y2005	HC	October	C8115	22	None
Y2006	HC	July	C8136	22	None
Y2006	HC	August	C8136	23	None
Y2006	HC	September	C8136	25	None
Y2006	HC	July	C8140	20	None
Y2006	HC	August	C8140	20	None
Y2006	HC	September	C8140	22	None
Y2006	HC	July	C8142	23	None
Y2006	HC	July	C8143	25	None
Y2006	HC	August	C8143	24	None
Y2006	HC	September	C8143	26	None
Y2006	HC	April	C8143	26	None
Y2006	HC	May	C8143	28	None
Y2006	HC	April	C8145	26	None
Y2006	HC	July	C8181/C8213	22	None
Y2006	HC	July	C8182	18	None
Y2006	HC	August	C8182	20	None
Y2006	HC	July	C8186	28	None
Y2006	HC	August	C8186	26	None
Y2006	HC	September	C8186	29	None
Y2006	HC	August	C8187	27	None
Y2006	HC	August	C8189	16	None
Y2006	HC	August	C8190	19	None
Y2006	HC	September	C8190	21	None
Y2006	HC	October	C8190	23	None
Y2006	HC	September	C8191	18	None
Y2006	HC	October	C8191	20	None
Y2006	HC	October	C8201	23	None
Y2006	HC	October	C8201	24	None
Y2006	HC	September	C8202	25	None
Y2006	HC	October	C8202	23	None
Y2006	HC	September	C8203	20	None
Y2007	HC	May	C8203	30	None
Y2007	HC	July	C8203	25	None
Y2007	HC	July	C8203	29	None
Y2007	HC	August	C8203	29	None
Y2007	HC	August	C8205	25	None
Y2006	HC	August	C8208	20	None
Y2006	HC	August	C8213	25	None
Y2007	HC	May	C8222	28	None
Y2007	HC	June	C8222	28	None
Y2007	HC	July	C8222	28	None
Y2007	HC	July	C8222	27	None
Y2007	HC	August	C8222	26	None
Y2007	HC	September	C8222	28	None
Y2006	HC	October	C8225	20	None
Y2006	HC	October	C8225	22	None
Y2007	HC	May	C8225	29	None
Y2007	HC	June	C8225	28	None
Y2007	HC	July	C8225	28	None
Y2007	HC	July	C8225	28	None
Y2007	HC	August	C8225	28	None
Y2007	HC	September	C8225	32	None
Y2007	HC	October	C8225	25	None
Y2006	HC	July	C8233	23	None
Y2006	HC	July	C8234	19	None
Y2006	HC	August	C8234	18	None
Y2006	HC	September	C8234	24	None
Y2006	HC	October	C8234	23	None
Y2006	HC	October	C8234	26	None
Y2007	HC	May	C8234	28	None
Y2007	HC	June	C8234	26	None
Y2007	HC	July	C8234	27	None
Y2007	HC	July	C8234	27	None
Y2006	HC	July	C8237	20	None
Y2006	HC	August	C8237	22	None
Y2006	HC	September	C8237	23	None
Y2006	HC	October	C8237	23	None
Y2006	HC	October	C8237	25	None
Y2007	HC	May	C8237	28	None
Y2007	HC	June	C8237	26	None
Y2007	HC	July	C8237	28	None
Y2007	HC	July	C8237	28	None
Y2007	HC	August	C8237	28	None
Y2006	HC	July	C8240	18	None
Y2006	HC	August	C8240	20	None
Y2006	HC	July	C8241	23	None
Y2006	HC	August	C8241	24	None
Y2006	HC	September	C8241	25	None
Y2006	HC	October	C8241	26	None
Y2006	HC	October	C8241	28	None
Y2006	HC	July	C8243	16	None
Y2006	HC	August	C8243	19	None
Y2006	HC	July	C8244	19	None
Y2006	HC	August	C8244	20	None
Y2006	HC	August	C8245	18	None
Y2006	HC	July	C8246	17	None
Y2006	HC	August	C8246	22	None
Y2006	HC	September	C8246	20	None
Y2006	HC	July	C8249	22	None
Y2006	HC	July	C8250	24	None
Y2006	HC	August	C8250	28	None
Y2006	HC	October	C8254	24	None
Y2006	HC	October	C8256	19	None
Y2007	HC	May	C8260	27	None
Y2007	HC	May	C8262	25	None
Y2007	HC	June	C8262	25	None
Y2007	HC	July	C8262	25	None
Y2007	HC	July	C8262	23	None
Y2007	HC	May	C8268	26	None
Y2007	HC	May	C8270	22	None
Y2007	HC	May	C8272	29	None
Y2007	HC	June	C8272	29	None
Y2007	HC	July	C8272	31	None
Y2007	HC	July	C8272	28	None
Y2006	HC	July	C8276	22	None
Y2006	HC	August	C8276	20	None
Y2006	HC	September	C8276	23	None
Y2006	HC	July	C8280/C8221	20	None
Y2006	HC	July	C8282	21	None
Y2006	HC	August	C8282	22	None
Y2006	HC	September	C8282	27	None
Y2006	HC	October	C8282	25	None
Y2006	HC	October	C8282	24	None
Y2007	HC	May	C8282	29	None
Y2007	HC	June	C8282	29	None
Y2007	HC	July	C8282	31	None
Y2007	HC	July	C8282	26	None
Y2007	HC	August	C8282	25	None
Y2007	HC	September	C8282	27	None
Y2006	HC	July	C8288	17	None
Y2006	HC	October	C8301	21	None
Y2006	HC	October	C8301	22	None
Y2006	HC	October	C8306	20	None
Y2006	HC	October	C8308	20	None
Y2006	HC	October	C8309	23	None
Y2007	HC	June	C8314	30	None
Y2007	HC	July	C8314	31	None
Y2007	HC	July	C8314	31	None
Y2007	HC	August	C8314	30	None
Y2007	HC	September	C8314	29	None
Y2007	HC	October	C8314	28	None
Y2006	HC	October	C8315	19	None
Y2006	HC	October	C8319	18	None
Y2007	HC	May	C8322	26	None
Y2006	HC	October	C8328	21	None
Y2007	HC	May	C8328	28	None
Y2006	HC	October	C8329	21	None
Y2006	HC	October	C8330	20	None
Y2006	HC	October	C8331	21	None
Y2006	HC	October	C8333	20	None
Y2006	HC	October	C8334	20	None
Y2006	HC	October	C8342	18	None
Y2006	HC	October	C8343	22	None
Y2007	HC	May	C8343	25	None
Y2007	HC	May	C8346	22	None
Y2007	HC	May	C8347	29	None
Y2007	HC	June	C8347	28	None
Y2006	HC	August	C8351	22	None
Y2006	HC	August	C8352	18	None
Y2006	HC	October	C8352	27	None
Y2006	HC	October	C8352	24	None
Y2006	HC	August	C8354	19	None
Y2006	HC	September	C8355	22	None
Y2006	HC	September	C8356	21	None
Y2006	HC	October	C8363	21	None
Y2006	HC	October	C8363	24	None
Y2007	HC	July	C8363	33	None
Y2007	HC	July	C8363	34	None
Y2006	HC	October	C8364	20	None
Y2006	HC	October	C8365	21	None
Y2006	HC	October	C8365	23	None
Y2006	HC	October	C8368	22	None
Y2006	HC	October	C8368	25	None
Y2006	HC	October	C8370	19	None
Y2007	HC	May	C8370	27	None
Y2007	HC	June	C8370	28	None
Y2007	HC	July	C8370	28	None
Y2007	HC	July	C8370	27	None
Y2007	HC	August	C8370	28	None
Y2007	HC	September	C8370	26	None
Y2006	HC	October	C8371	20	None
Y2006	HC	October	C8371	23	None
Y2007	HC	July	C8373	25	None
Y2006	HC	October	C8376	21	None
Y2006	HC	October	C8376	23	None
Y2006	HC	October	C8377	17	None
Y2007	HC	June	C8379	25	None
Y2007	HC	July	C8379	26	None
Y2007	HC	July	C8379	26	None
Y2007	HC	August	C8379	25	None
Y2007	HC	September	C8379	25	None
Y2007	HC	October	C8379	22	None
Y2007	HC	October	C8379	24	None
Y2006	HC	September	C8383	22	None
Y2006	HC	August	C8388	24	None
Y2007	HC	July	C8388	31	None
Y2006	HC	September	C8389	21	None
Y2006	HC	October	C8389	20	None
Y2006	HC	October	C8389	25	None
Y2006	HC	August	C8390	21	None
Y2006	HC	September	C8390	21	None
Y2006	HC	October	C8390	22	None
Y2006	HC	August	C8392	19	None
Y2006	HC	September	C8393	27	None
Y2007	HC	July	C8393	29	None
Y2007	HC	July	C8393	28	None
Y2007	HC	October	C8394	23	None
Y2007	HC	May	C8398	21	None
Y2007	HC	July	C8398	21	None
Y2007	HC	July	C8398	22	None
Y2007	HC	August	C8398	22	None
Y2007	HC	September	C8398	25	None
Y2007	HC	October	C8398	22	None
Y2007	HC	May	C8400	24	None
Y2007	HC	June	C8400	25	None
Y2006	GC	July	C8403	25	None
Y2006	GC	August	C8403	29	None
Y2006	GC	July	C8405	24	None
Y2006	GC	June	C8407	27	None
Y2006	GC	July	C8407	27	None
Y2006	GC	July	C8407	26	None
Y2006	GC	June	C8412	22	None
Y2006	GC	August	C8412	23	None
Y2006	GC	June	C8413	24	None
Y2006	GC	June	C8414	24	None
Y2006	GC	July	C8414	22	None
Y2006	GC	June	C8416	21	None
Y2006	GC	July	C8416	22	None
Y2006	GC	July	C8419	24	None
Y2006	GC	July	C8419	25	None
Y2006	GC	August	C8419	25	None
Y2006	GC	September	C8419	26	None
Y2006	GC	June	C8421	26	None
Y2006	GC	July	C8423	21	None
Y2006	GC	July	C8423	21	None
Y2006	GC	August	C8423	21	None
Y2006	GC	September	C8424/C8666	21	None
Y2006	GC	July	C8427	17	None
Y2006	GC	July	C8427	20	None
Y2006	GC	August	C8427	21	None
Y2006	GC	September	C8427	24	None
Y2006	GC	September	C8427	26	None
Y2006	GC	October	C8427	26	None
Y2006	GC	August	C8427	27	None
Y2007	GC	May	C8427	30	None
Y2007	GC	June	C8427	30	None
Y2007	GC	July	C8427	33	None
Y2007	GC	August	C8427	29	None
Y2007	GC	August	C8427	30	None
Y2006	GC	July	C8429	23	None
Y2006	GC	July	C8436	23	None
Y2006	GC	July	C8436	24	None
Y2006	GC	August	C8436	25	None
Y2006	GC	September	C8436	28	None
Y2006	GC	September	C8436	27	None
Y2006	GC	October	C8436	26	None
Y2007	GC	June	C8436	29	None
Y2006	GC	August	C8437	17	None
Y2006	GC	September	C8437	22	None
Y2006	GC	September	C8437	22	None
Y2006	GC	October	C8437	23	None
Y2006	GC	July	C8446	17	None
Y2006	GC	August	C8446	20	None
Y2006	GC	September	C8446	21	None
Y2006	GC	September	C8446	25	None
Y2006	GC	October	C8446	22	None
Y2007	GC	May	C8446	26	None
Y2007	GC	June	C8446	26	None
Y2007	GC	August	C8446	27	None
Y2006	GC	July	C8447	15	None
Y2006	GC	May	C8451	25	None
Y2006	GC	July	C8451	27	None
Y2006	GC	July	C8451	26	None
Y2006	GC	August	C8451	29	None
Y2006	GC	May	C8453	24	None
Y2006	GC	June	C8453	27	None
Y2006	GC	July	C8453	25	None
Y2006	GC	July	C8453	27	None
Y2006	GC	August	C8453	25	None
Y2006	GC	September	C8453	28	None
Y2006	GC	September	C8453	29	None
Y2006	GC	October	C8453	26	None
Y2006	GC	June	C8454	28	None
Y2006	GC	July	C8454	25	None
Y2006	GC	July	C8454	24	None
Y2006	GC	August	C8454	26	None
Y2006	GC	May	C8458	26	None
Y2006	GC	June	C8470	17	None
Y2006	GC	July	C8472	20	None
Y2006	GC	July	C8481	17	None
Y2006	GC	July	C8481	20	None
Y2006	GC	July	C8482	20	None
Y2006	GC	July	C8483	18	None
Y2006	GC	July	C8483	19	None
Y2006	GC	August	C8483	19	None
Y2006	GC	September	C8483	23	None
Y2006	GC	September	C8483	21	None
Y2006	GC	September	C8486	23	None
Y2006	GC	September	C8486	25	None
Y2007	GC	May	C8486	30	None
Y2007	GC	June	C8486	30	None
Y2007	GC	July	C8486	29	None
Y2007	GC	August	C8486	27	None
Y2007	GC	August	C8486	29	None
Y2006	GC	August	C8487	20	None
Y2006	GC	September	C8487	18	None
Y2006	GC	July	C8495	17	None
Y2006	GC	July	C8498	19	None
Y2006	GC	July	C8499	19	None
Y2006	GC	July	C8499	20	None
Y2006	GC	August	C8499	20	None
Y2006	GC	September	C8499	23	None
Y2006	GC	July	C8501	24	None
Y2006	GC	August	C8503	19	None
Y2006	GC	September	C8503	22	None
Y2006	GC	October	C8503	22	None
Y2006	GC	August	C8503	24	None
Y2007	GC	May	C8503	29	None
Y2007	GC	June	C8503	27	None
Y2007	GC	July	C8503	31	None
Y2007	GC	August	C8503	29	None
Y2007	GC	August	C8503	26	None
Y2007	GC	September	C8503	28	None
Y2007	GC	October	C8503	27	None
Y2007	GC	August	C8503	27	None
Y2008	GC	May	C8503	29	None
Y2008	GC	June	C8503	27	None
Y2008	GC	July	C8503	28	None
Y2008	GC	August	C8503	29	None
Y2008	GC	August	C8503	30	None
Y2008	GC	September	C8503	33	None
Y2006	GC	August	C8504	20	None
Y2006	GC	September	C8504	21	None
Y2006	GC	September	C8504	24	None
Y2006	GC	October	C8504	26	None
Y2006	GC	August	C8504	27	None
Y2006	GC	August	C8510	18	None
Y2006	GC	September	C8510	20	None
Y2006	GC	September	C8510	22	None
Y2006	GC	October	C8510	22	None
Y2006	GC	August	C8510	22	None
Y2007	GC	May	C8510	26	None
Y2007	GC	June	C8510	25	None
Y2007	GC	July	C8510	28	None
Y2007	GC	August	C8510	25	None
Y2007	GC	August	C8510	30	None
Y2007	GC	September	C8510	30	None
Y2007	GC	October	C8510	26	None
Y2007	GC	August	C8510	25	None
Y2006	GC	July	C8512	18	None
Y2006	GC	July	C8512	20	None
Y2006	GC	August	C8512	20	None
Y2006	GC	July	C8517	17	None
Y2006	GC	August	C8517	21	None
Y2006	GC	September	C8517	22	None
Y2006	GC	July	C8523	17	None
Y2006	GC	August	C8523	19	None
Y2006	GC	September	C8523	20	None
Y2006	GC	July	C8525	20	None
Y2006	GC	July	C8527	14	None
Y2006	GC	July	C8529	20	None
Y2006	GC	July	C8532	21	None
Y2006	GC	August	C8532	23	None
Y2006	GC	September	C8533	18	None
Y2007	GC	July	C8533	24	None
Y2007	GC	August	C8533	25	None
Y2007	GC	August	C8533	23	None
Y2007	GC	September	C8533	26	None
Y2007	GC	October	C8533	25	None
Y2007	GC	August	C8533	26	None
Y2006	GC	September	C8535	21	None
Y2006	GC	September	C8535	20	None
Y2006	GC	October	C8535	22	None
Y2006	GC	August	C8535	25	None
Y2007	GC	May	C8535	27	None
Y2007	GC	June	C8535	25	None
Y2007	GC	July	C8535	26	None
Y2007	GC	August	C8535	25	None
Y2007	GC	August	C8535	28	None
Y2007	GC	September	C8535	26	None
Y2007	GC	October	C8535	28	None
Y2007	GC	August	C8535	25	None
Y2007	GC	May	C8536/C9124	31	None
Y2006	GC	August	C8542	20	None
Y2006	GC	September	C8542	21	None
Y2006	GC	September	C8542	22	None
Y2006	GC	July	C8543	16	None
Y2006	GC	August	C8543	18	None
Y2006	GC	July	C8544	18	None
Y2006	GC	August	C8544	19	None
Y2006	GC	July	C8545	17	None
Y2006	GC	August	C8545	17	None
Y2006	GC	September	C8545	21	None
Y2006	GC	July	C8546	23	None
Y2006	GC	August	C8546	22	None
Y2006	GC	August	C8548	18	None
Y2006	GC	September	C8548	22	None
Y2006	GC	October	C8548	24	None
Y2006	GC	July	C8550	19	None
Y2006	GC	July	C8550	20	None
Y2006	GC	July	C8558	20	None
Y2006	GC	July	C8558	22	None
Y2006	GC	August	C8558	22	None
Y2006	GC	September	C8558	25	None
Y2006	GC	July	C8560	21	None
Y2006	GC	July	C8560	22	None
Y2006	GC	August	C8560	22	None
Y2006	GC	September	C8560	24	None
Y2006	GC	September	C8560	25	None
Y2006	GC	October	C8560	24	None
Y2006	GC	August	C8560	24	None
Y2006	GC	August	C8564	21	None
Y2006	GC	August	C8565	19	None
Y2006	GC	September	C8565	21	None
Y2006	GC	October	C8565	22	None
Y2007	GC	May	C8578	25	None
Y2007	GC	June	C8578	21	None
Y2007	GC	July	C8578	26	None
Y2007	GC	August	C8578	25	None
Y2007	GC	August	C8578	25	None
Y2007	GC	September	C8578	26	None
Y2007	GC	October	C8578	25	None
Y2006	GC	July	C8589	21	None
Y2006	GC	August	C8589	24	None
Y2006	GC	October	C8590	20	None
Y2006	GC	August	C8590	25	None
Y2006	GC	July	C8592	18	None
Y2006	GC	August	C8592	19	None
Y2006	GC	July	C8597	22	None
Y2006	GC	August	C8597	21	None
Y2006	GC	September	C8597	24	None
Y2006	GC	July	C8600	20	None
Y2006	GC	August	C8600	18	None
Y2006	GC	September	C8600	25	None
Y2006	GC	September	C8600	24	None
Y2006	GC	July	C8603	17	None
